,1,2,3,4,5,6,7,8,9
1,0,,,,,,,,
2,0.282857143,0,,,,,,,
3,0.784761905,0.665676478,0,,,,,,
4,0.517142857,0.361868755,0.306958322,0,,,,,
5,0.571428571,0.429381583,0.236744982,0.072913853,0,,,,
6,0.480952381,0.381672518,0.302907552,0.110270951,0.10937078,0,,,
7,1,0.881904762,0.218095238,0.521904762,0.453333333,0.521904762,0,,
8,0.298095238,0.38347286,0.522099199,0.348816275,0.366819696,0.25204789,0.73047619,0,
9,0.816190476,0.885768296,0.542803132,0.660275452,0.614816815,0.559006211,0.58952381,0.520748942,0
